Model,Accuracy,Precision,Recall,F1,ROC-AUC,FPR,FNR,Train Time (s),CV F1 Mean,CV F1 Std
Naive Bayes,0.9862459546925566,0.9789934354485776,0.9837291116974495,0.9813555604299189,0.9952393224054642,0.01228878648233487,0.016270888302550572,0.34,0.9444,0.0597
Random Forest,0.9954692556634305,0.9977836879432624,0.9898856640281443,0.9938189845474613,0.9984133514008396,0.0012800819252432156,0.010114335971855761,1.69,0.9715,0.0359
MLP,0.9946601941747573,0.9968957871396896,0.9885664028144239,0.9927136233164053,0.998108473489357,0.0017921146953405018,0.011433597185576077,3.36,0.9581,0.0481
